年份,省份,城市,省份代码,城市代码,所属地域,胡焕庸线,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),城镇户籍人口(万人),非农业人口数(万人),年平均人口(万人),年末总户数(万户),出生人口(人),死亡人口(人),自然增长率(‰),常住人口(万人),城镇常住人口(万人),常住人口城镇化率(%),城镇非私营单位从业人员数(万人),城镇私营和个体从业人员数(人),年末城镇登记失业人员数(人),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),第一产业从业人员比重(%),第二产业从业人员比重(%),第三产业从业人员比重(%),农林牧渔业从业人员数(万人),采掘业从业人员数(万人),制造业从业人员数(万人),电力煤气及水生产供应业从业人员数(万人),建筑业从业人员数(万人),交通仓储邮电业从业人员数(万人),信息传输、计算机服务和软件业从业人员数(万人),批发零售贸易业从业人员数(万人),住宿餐饮业从业人员数(万人),金融业从业人员数(万人),房地产业从业人员数(万人),租赁和商业服务业从业人员数(万人),科研、技术服务和地质勘查业从业人员数(万人),水利、环境和公共设施管理业从业人员数(万人),居民服务和其他服务业从业人员数(万人),教育业从业人员数(万人),卫生、社会保险和社会福利业从业人员数(万人),文化、体育和娱乐业从业人员数(万人),公共管理和社会组织从业人员数(万人),地质勘察水利管理业从业人数(万人),交通仓储邮电通信业从业人员数(万人),批发零售贸易餐饮业从业人员数(万人),社会服务业从业人员数(万人),卫生体育社会福利业从业人员数(万人),教育文艺广播影视业从业人员数(万人),科研综合技术服务业从业人员数(万人),机关和社会团体从业人员数(万人),城镇非私营单位在岗职工平均人数(万人),城镇非私营单位在岗职工工资总额(万元),城镇非私营单位在岗职工平均工资(元),行政区域土地面积(平方公里),年末耕地总资源(千公顷),人均占有耕地面积(亩),人口密度(人／平方公里),水资源总量(万立方米),用水总量(亿立方米),地区生产总值增长率(%),规模以上服务业营业收入(万元),规模以上服务业营业收入增速(%),粮食产量(万吨),油料产量(万吨),棉花产量(万吨),蔬菜产量(吨),水果产量(吨),肉类产量(吨),奶类产量(吨),水产品产量(吨),禽蛋产量(吨),规模以上工业企业数(个),内资企业数(个),港、澳、台商投资企业数(个),外商投资企业数(个),规模以上工业总产值(当年价)(万元),内资企业工业总产值(万元),港、澳、台商投资企业工业总产值(万元),外商投资企业工业总产值(万元),从业人员年平均人数(万人),规模以上工业企业产品销售收入(万元),规模以上工业企业利税总额(万元),本年应交增值税(万元),规模以上工业企业利润总额(万元),流动资产年平均余额(万元),固定资产净值年平均余额(万元),规模以上工业企业资产总计(万元),规模以上工业企业流动资产合计(万元),规模以上工业企业固定资产合计(万元),规模以上工业企业主营业务税金及附加(万元),规模以上工业营业收入(万元),规模以上工业营业收入增速(%),固定资产投资总额(万元),房地产开发投资完成额(万元),住宅开发投资完成额(万元),社会消费品零售总额(万元),限额以上单位商品零售额(万元),限额以上批发零售业商品销售总额(万元),限额以上批发零售业法人企业数(个),当年新签项目(合同)个数(个),当年合同外资金额(万美元),当年实际使用外资金额(万美元),货物进口额(万元),货物出口额(万元),地方财政一般预算内收入(万元),工商税收(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校学校数(所),普通中学学校数(所),小学学校数(所),中等职业教育学校数(所),普通高等学校专任教师数(人),普通中学专任教师数(人),小学专任教师数(人),中等职业教育学校专任教师数(人),普通高等学校在校学生数(人),普通中学在校学生数(万人),小学在校学生数(万人),高中阶段在校学生数(人),初中阶段学生数(万人),普通高中学生数(万人),学前教育学生数(人),中等职业教育学校在校学生数(人),成人高等学校在校学生数(人),每万人在校大学生数(人),每万人在校中等职业学生数(人),R&D人员(人),R&D内部经费支出(万元),专利申请数(件),专利授权数(件),发明专利授权数(件),高新技术企业数(国家级)(个),技术合同成交额(万元),公共图书馆(个),剧场、影剧院数(个),公共图书馆图书总藏量(千册、件),每百人公共图书馆藏书(册、件),博物馆数(个),体育场馆数(个),卫生机构数(个),医院、卫生院数(个),医院、卫生院床位数(张),执业(助理)医师数(人),客运总量(万人),铁路旅客运量(万人),公路客运量(万人),水运客运量(万人),民用航空客运量(人),城市公共交通客运总量(万人次),客运量(公路+水路)(万人次),货运总量(万吨),铁路货物运量(万吨),公路货运量(万吨),水运货运量(万吨),民用航空货邮运量(吨),货运量(公路+水路)(万吨),年末邮政局(所)数(处),邮政业务收入(万元),电信业务收入(万元),本地电话年末用户数(万户),移动电话年末用户数(万户),国际互联网用户数(户),全年用电量(万千瓦时),工业用电(万千瓦时),城乡居民生活用电量(万千瓦时),城镇居民生活用电量(万千瓦时),境内公路总里程(公里),高速公路里程(公里),工业废水排放量(万吨),工业废水排放达标量(万吨),工业二氧化硫去除量(吨),工业二氧化硫排放量(吨),工业烟尘去除量(吨),工业烟尘排放量(吨),工业二氧化硫产生量(吨),工业烟粉尘去除量(吨),工业烟粉尘排放量(吨),工业氮氧化物排放量(吨),工业颗粒物排放量(吨),工业化学需氧量排放量(吨),工业氨氮排放量(吨),生活污水处理率(%),生活垃圾无害化处理率(%),工业固体废物综合利用率(%),一般工业固体废物综合利用率(%),污水处理厂集中处理率(%),细颗粒物(PM2.5)年平均浓度(微克/立方米),空气质量优良天数比例(%),保险业承保额(万元),城镇职工基本养老保险参保人数(人),职工基本医疗保险参保人数(人),失业保险参保人数(人),提供住宿的社会工作机构数(个),养老机构数(个),提供住宿的社会工作机构床位数(张),养老机构床位数(张),
2012,江西省,南昌市,360000,360100,中部,东南侧,30005236,1473257,16937956,11597024,4.91,56.45,38.65,58715,507.9,,,511,,,,7.3,,,,96,702698,55160,0.78,54.5,40.96,1,57,43,1,0,28,2,25,7,1,5,2,2,1,1,2,1,0,6,4,1,7,,,,,,,,,84,3693668,43769,7402,,,686,,,12.5,,,243.65,12.57,0.508,1151000,30706,360000,57800,369017,166500,1015,867,63,85,38565032,30709408,2697954,5157670,,,,1067205,2113992,,,,12112575,10037177,830114,,,23930288,3443607,2213319,9950970,,15493057,473,164,,263988,,,2400205,,3455062,44786,633232,47280066,57231423,18535679,43,265,981,35,28894,21684,17820,2335,509239,30.83,41.63,96991,,,,106341,81466,1003,209,,,,,,,,10,9,5783,114,,,695,179,21541,8141,10624,1401,9003,,2200000,,,9525,297,8510,716,16400,,151,67000,506643,138,621,830000,,,,,,,10929,,,43470,,,87523,753404,11115,,,,,,89,,99,95,,,,1322397,1649810,618130,,,,,
2013,江西省,南昌市,360000,360100,中部,东南侧,33360265,1571268,18504939,13284058,4.71,55.47,39.82,65412,510.1,,,509,,,,8.8,,,,120,688070,11239,0.83,73.3,45.45,1,61,38,1,0,30,2,42,7,2,6,2,3,2,2,2,1,0,6,4,1,7,,,,,,,,,104,4876812,46744,7402,,,689,,,11.18,,,246.07,13,0.29,1236900,31348,366600,52200,376814,166600,1078,933,62,83,44375203,35528372,3048519,5798312,,,,1240378,2507625,,,,13162371,11598957,965669,,,28968649,4061358,2411410,11327693,,17388799,460,176,,296437,,,2919097,,4193652,54172,734317,54642226,66245726,20511635,43,266,972,58,30457,22043,17735,2318,520148,29.51,39.49,99010,,,,109777,96376,194,215,,,,,,,,10,9,4937,97,,,705,181,23664,11369,11758,2373,9158,,2270000,,,10534,239,9545,748,20000,,157,115400,544791,127,629,1160000,,,,,,,10602,,,40756,,,,,11410,,,,,,89,,98,94,,,,1535635,714508,585188,,,,,
2014,江西省,南昌市,360000,360100,中部,东南侧,36679635,1628576,20170131,14880928,4.44,54.99,40.57,70373,517.7,,,513.9,,,,22.1,,,,122,723499,64619,0.46,75.88,45.76,0,62,37,0,0,32,2,42,3,3,7,1,3,2,2,2,2,0,7,4,1,7,,,,,,,,,104,5408797,51848,7402,,,699,,,9.8,,,,13.31,0.302,1278400,,377400,,394888,,1211,1060,66,85,50749558,40870194,3503357,6376007,,,,1450493,3167045,,,,17202585,13675065,1159140,,,34342514,4140682,3000034,13048814,,19113256,580,189,,321418,,,3422065,,4731561,79045,814016,63292628,72962276,21493277,55,275,927,55,31666,18860,17293,2025,554360,29.62,39.73,101908,,,,112448,102940,1071,217,,,,,,,,,9,5069,98,,,,198,26538,12349,6970,2415,3831,,7240000,,,12709,183,11734,787,50000,,161,162800,657300,112,601,1200000,,,,,,,8656,,,37049,,,87369,1252864,29435,,,,,,100,,96,91,,,,1574795,2303972,584219,,,,,
2015,江西省,南昌市,360000,360100,中部,东南侧,40000140,1712006,21800076,16488058,4.28,54.5,41.22,75879,520.38,,,519.06,,,,10.1,,,,125,750865,64727,0.44,77.55,47.07,0,62,38,0,0,29,2,46,3,2,8,2,3,2,2,2,2,0,8,4,2,6,,,,,,,,,106,6132271,57730,7402,,,703,,,9.6,,,,12.81,0.222,1289800,,375700,,411491,,1300,1157,67,76,54852003,44371212,4382116,6098675,,,,1386484,3097572,,,,20028478,15325915,1274256,,,40000719,4853714,3605633,16628661,,18329949,580,82,,270607,,,3893412,,5431789,82004,854606,73760542,83426277,24913925,53,285,904,56,33331,24218,17547,1874,587368,29.35,40.67,,,,,119853,,1129,230,,,,,,,,,,5228,100,,,,195,27879,12875,,,3914,,7490000,,,,,12593,1050,51000,,161,208600,694700,107,609,1280000,,,,,,,10016,,,30399,,,91485,1054130,24818,,,,,,100,,97,98,,,,1162361,981853,608984,,,,,
2016,江西省,南昌市,360000,360100,中部,东南侧,43549927,1816032,23072751,18661144,4.17,52.98,42.85,81598,523,,,522,,,,10.4,,,,126,816883,65000,0.38,78.64,46.97,0,62,37,0,0,31,1,47,4,3,7,1,3,2,2,3,2,0,8,4,2,6,,,,,,,,,105,6940303,65812,7402,,,,757700,,9,,,,12.06,0.183,1277700,,379500,,425064,,1385,1250,61,74,61339695,52980083,4315060,6581566,,,,1493452,3610540,,,,23353950,19028419,1104974,,,45402629,6745980,4718485,18680021,,20368749,833,72,,306452,,,4021831,,5832565,101403,900287,86045684,95029990,27224199,53,292,672,52,43653,24623,17794,2430,611819,29,41,,,,,94509,,,,,,,,,,,,,1690,,,,,194,28477,13139,,,3001,,7860000,,,,,11067,1058,50600,,161,314000,679300,102,625,1430000,,,,,,,10258,,,13800,,,83457,1176909,33926,,,,,,100,,95,94,,,,1311623,994424,623827,,,,,
2017,江西省,南昌市,360000,360100,中部,东南侧,,,,,,,,83943,525,,,524,166,82072,63352,3.6,,,,121,1338775,62993,0.37,71.4,49.18,0,59,41,0,,27,1,44,4,3,8,1,3,2,3,3,2,0,8,4,1,6,,,,,,,,,102,7416789,72686,7402,,,,813400,,,,,,11.11,0.171,1293200,,,,391858,,1473,1333,63,77,,,,,,,,1492892,3758497,,,,30406520,16265336,1386463,,,,7906914,6380479,20969616,,22848883,926,52,,386418,,,4170774,,6531223,217331,998001,102092754,100113903,28698392,53,292,525,51,31886,25491,17795,2280,609801,30,42,,,,,87971,,,,18767,567827,18424,8241,1084,,,,,2130,,17,10,,118,27302,14143,,,2953,,10940000,,,,,12436,1122,52300,,,430300,1682000,,613,1850000,2059733,1054552,,299763,,,3861,,,,,,,,23416,10605,,,,,100,,91,100,41,,,1906643,1172146,622517,,,,,
2018,江西省,南昌市,360000,360100,中部,东南侧,52746716,1909431,26610718,24231841,3.62,50.45,45.94,95825,532,,,528,168,73408,16777,10.6,,,,118,1320026,64200,0.05,66.26,51.21,0,56,44,0,0,24,1,41,5,3,7,1,4,3,3,3,1,0,9,4,1,9,,,,,,,,,100,8267766,82672,7402,,,,631900,,8.9,,,,11.54,0.162,,,,,404361,,1196,1074,53,69,,,,,,,,1162360,3633715,,,,33530461,17114094,1481221,,,,8904296,6127931,21316307,,25688329,1006,53,,348899,3359129,4516685,4617462,,7524137,273821,1110034,119503221,106057802,31320450,53,288,487,43,32150,26791,17838,2284,610624,31,43,,,,,81448,,,,,,22479,13040,1147,,,,,2240,,17,,,122,28222,14797,,,2772,,13520000,,,,,14198,1123,82600,,,378400,638000,,697,2380000,2300011,1168520,,347674,,,3740,,,6540,,,,,19229,11119,,,,,100,,91,100,30,,,1996844,1186702,630947,,,,,
2019,江西省,南昌市,360000,360100,中部,东南侧,55960000,2126480,26536232,27297288,3.8,47.42,48.78,100415,536,,,534,170,61497,23349,7.1,,,,125,1426510,34094,0.18,65.3,59.61,0,52,48,0,0,23,1,41,5,3,7,1,6,4,3,3,1,0,11,5,1,10,,,,,,,,,102,9021284,88470,7195,,,,738600,,8,,,,,,,,,,,,1451,1333,53,65,,,,,,,,1203517,3451362,,,,37549396,18833291,1587794,,,,9130359,6563772,23693288,,33245028,1052,43,,377156,4159899,6457830,4769998,,8341066,339770,1264296,138646906,119800370,36180632,51,294,455,47,32932,28015,17900,2492,630485,32,43,,,,,84022,,,,,,21684,13057,1223,,,,,2240,,18,,,138,31082,16778,,,2584,,13640000,,,,,15350,1232,122500,,,496300,617000,,709,2650000,2471959,1233718,,378727,,,3990,,,6032,,,,,15534,9449,,,,,100,,94,93,35,,,2117652,1319602,644316,,,,,
2020,江西省,南昌市,360000,360100,中部,东南侧,57460000,2350114,26770614,28339272,4.09,46.59,49.32,92697,,,,,,,,,626,488,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,9704265,93774,,,,,946300,,3.6,,,,,,,,,,,,1553,1437,52,64,,,,,,,,,4449411,,,,39175372,,,,,,,,24527390,,39921479,1295,,,,4383544,7131070,4838581,,8381744,372224,1351071,158145545,135267637,,52,304,445,47,35762,30252,17573,2778,687852,32,44,,,,,91061,,,,,,,17910,1675,,,,,3510,,22,,,136,38797,17857,,,1892,,,,,,,16068,,,,,,,,,,,,,,11890,428,,,,5081,,,,,3264,8027,3264,,,,100,,,95,33,,,2224822,1381155,651925,,,,,
2021,江西省,南昌市,360000,360100,中部,东南侧,66510000,2381058,32177538,31938102,3.58,48.38,48.02,104788,540,303,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,10078689,102084,,,,,830000,,8.7,,,,,,,,,,,,1721,1584,58,79,,,,,,,,,4496183,,,,36479805,,,,,,,,28787407,,51298983,823,,,,3958740,8976840,4848319,,8700084,458501,1380575,174205504,146015478,,49,312,419,47,36273,32452,17638,2943,708034,33,44,,,,,104516,,,,,,,23800,2667,,,,,3540,,28,,,139,38422,19133,,,842,,,,,,,16784,,,,,725400,692291,,784,3110000,,,,,11917,,,,,4932,,,,,2823,8184,2823,,,,100,,,96,31,,,2337666,1423366,691918,125,121,18745,17601,
2022,江西省,南昌市,360000,360100,中部,东南侧,72040000,2485380,34845748,34708872,3.45,48.37,48.18,111031,544,307,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,9975358,,,,,,760000,,4.1,,,,,,,,,,,,1921,1792,60,69,,,,,,,,,3440030,,,,35181327,,,,,,,,30119960,,59835194,2042,,,,3906680,9548945,4576780,,9390409,395079,1453125,188344983,159822554,,49,316,380,43,38916,33879,17549,3790,762480,33,45,,,,,106606,,,,,,,17855,3730,,,,,3900,,28,,,138,39687,19597,,,548,,,,,,,16538,,,,,792300,752230,,803,,,,,,11674,430,,,,3018,,,,,,6579,2740,,,,100,,,,30,,,2718970,1538276,1065690,103,101,17368,16706,
2023,江西省,南昌市,360000,360100,中部,东南侧,72130000,2474059,33410616,36245325,3.43,46.32,50.25,110067,,,,,,,,,657,,79.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780000,29,3.53,15443438,10.7,,,,,,,,,,,,,,,,,,,,,,1994400,,,71426693,,,,66822768,4,,,,32024098,18107200,70667354,,,,,3252850,7876228,5001818,,9255526,371957,1589642,197875010,171069384,,,,,,,,,,786995,,46,,21,12,180392,38502,,,,,,,15106,4703,1719,3911506,,,3710,,28,,,153,43036,23203,,,,,,66640,716,,,,,,19258,,884300,,,815,,3070132,1391488,584904,,10574,430,,,,9976,,,,,,4487,3639,2266,92,,100,,,99,33,92.3,,2888749,1528108,1138679,115,113,17881,16977,
1990,江西省,景德镇市,360000,360200,中部,东南侧,188700,44400,91800,52500,23.529,48.649,27.822,1445,131.43,,43.96,130.54,,,,12.1,,,,,,,33.13,20.45,12.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43703,,5248,64,,250,,,,,,46.38,1.352,0.11,315000,1893,,,5081,5281,,,,,,,,,,181171,16415,,,,,,,,,,,22892,,,71316,,,,1,11,5,,,21333,18287,18199,,,,,,2,122,1032,,244,4320,7547,,2219,6.67,16.18,,,,,,1818,,,,,,,,,,4,11,535,,,,265,,,2197,859,85,774,,,,,1030,202,812,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423299,,,,,,,,
1991,江西省,景德镇市,360000,360200,中部,东南侧,208600,46000,101500,61100,22.052,48.658,29.291,1579,132.88,,44.44,132.16,,,,8.4,,,,,,,33.08,20.95,12.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48060,,5248,64,,253,,,,,,45,1.809,0.317,320000,2320,,,5556,5844,,,,,,,,,,221356,17848,,,,,,,,,,,30765,,,79238,,,,11,737,23,,,25642,19391,21330,,,,,,2,122,1302,,273,4674,6981,,2176,6.78,15.67,,,,,,1769,,,,,,,,,,3,19,446,,,,274,,,2160,856,87,769,,,,,899,203,648,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387075,,,,,,,,
1992,江西省,景德镇市,360000,360200,中部,东南侧,248826,,,,,,,,133.86,,44.9,,,,,6,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51655,,,,,,,,,,,,24265,,18940,,3518,,,,,108,598,,,4419,6845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877,,,,,,,1121,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615606,,,,,,,,
1993,江西省,景德镇市,360000,360200,中部,东南侧,309211,,,,,,,,135.78,,45.86,,,,,7,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5248,64,,259,,,,,,,,,350000,1993,,,7390,8026,,,,,,,,,,,,,,,,,,,,,,124354,,,112771,,166004,,,,,,,30282,,21911,,4023,,,,2,132,602,,,4468,7682,,2486,7.1,14.8,,,,,,,,,,,,,,,,3,18,481,,,,278,,,2306,908,,,,,,,1165,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652178,,,,,,,,
1994,江西省,景德镇市,360000,360200,中部,东南侧,426595,69195,205420,151980,16.22,48.153,35.626,,136.59,,46.43,,,,,6.7,,,,68,,,30.14,23.02,15.34,44,34,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79463,3145,5248,64,,260,,,,,,46.8,2.3,0.2,379000,3000,,,9000,8351,,,,,,,,,,431551,42112,,,334992,252297,,,,,,,130173,,,144477,,173206,,,,643,,,20122,,25638,,,,,,,109,595,,385,6132,6942,,2924,7.34,15.15,,,,,,,,,,,,,,,,3,,492,,,,,,,2309,503,121,,,,,,288,198,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015307,,,,,,,,
1995,江西省,景德镇市,360000,360200,中部,东南侧,541052,86568,253753,201271,16,46.9,37.2,,137.64,,47.65,,,,,6,,,,75,,,32.91,24.38,17.5,44,33,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87764,3688,5248,63,1,262,,,15.5,,,,,,380000,3050,,,10763,,,,,,,,,,,474776,37051,29956,,397805,362226,,,,,,,76510,9684,,167124,,,,10,4087,3149,,,25306,,34283,,,,,,,109,591,,393,5432,6944,,3652,7.77,15,,,,,,,,,,,,,,,,3,,499,,,,,,,2303,542,125,,,,,,300,207,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064089,,,,,,,,
1996,江西省,景德镇市,360000,360200,中部,东南侧,647544,97779,307583,242181,15.1,47.5,37.4,,139.38,,48.37,,,,,5.5,,,,71,,,30.84,23.72,16.67,43,33,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92251,4189,5248,63,1,266,,,15.4,,,,,,550000,3865,,,12681,,,,,,,,,,,554859,57959,,,511507,424771,,,,,,,89471,8529,,192631,,,,10,668,966,,,30147,,40324,,,,,,,109,594,,401,5511,7235,,4561,9,15,,,,,,,,,,,,,,,,3,,446,,,,,,,2122,551,116,,,,,,291,200,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250356,,,,,,,,
1997,江西省,景德镇市,360000,360200,中部,东南侧,734987,103780,358821,272386,14.12,48.82,37.06,,140.47,,49.04,,,,,6.8,,,,75,,,31.3,24.9,19.11,42,33,25,31,2,20,1,2,,,,,0,0,,,,,,,,,0,2,7,1,1,2,0,1,25,92180,3741,5248,64,1,268,,,13.14,,,,,,540000,4750,,,13318,,,,,,,,,,,729073,60771,43270,,650695,508808,,,,,,,93282,7365,,215120,,243939,,9,2442,1030,,,33144,,47252,,,,,,2,110,594,,374,5043,7454,,3510,8.21,15.1,,,,,,,,,,,,,,,,,14,449,32,,,,,,2183,1330,124,1203,,,,,1310,277,969,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6690685,,,,,,,,
1998,江西省,景德镇市,360000,360200,中部,东南侧,812568,88570,425786,298212,10.9,52.4,36.7,,142.3,,49.92,,,,,4,,,,74,,,29.34,25.61,19.51,39,34,26,29,2,19,1,3,,,,,0,0,,,,,,,,,0,2,4,1,1,2,0,1,17,85850,4937,5248,64,1,271,,,10,,,,,,476703,3990,,,12773,,,,,,,,,,,809083,92765,41710,,699312,554554,,,,,,,92191,9734,,235597,,297479,,15,1586,1306,,,37664,,50241,,,,,,2,109,597,,366,5074,7529,,4791,8.43,15.33,,,,,,,,,,,,,,,,,5,454,32,,,,79,3669,2186,1547,144,1400,,,,,1322,153,1118,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11956033,,,,,,,,
1999,江西省,景德镇市,360000,360200,中部,东南侧,876154,104262,439829,332062,11.9,50.2,37.9,,142.23,,50.43,,,,,6.9,,,,78,,7200,29.87,26.06,21.86,38,34,28,30,2,21,1,2,,,,,0,0,,,,,,,,,0,2,6,2,1,2,0,1,17,91733,5526,5248,63,1,271,,,7.01,,,,,,508924,4522,,,13291,,142,,,,743977,736867,5687,1423,,770465,86592,35885,,756659,579417,,,,,,,111346,15630,,255638,,292169,,9,432,998,,,41014,,61208,,,,,,2,111,587,,385,5259,7687,,4437,9,14,,,,,,,,,,,,,,,,,5,434,31,,,,79,3672,2169,1583,148,1432,,,,,1315,127,1144,,,,148,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12399790,,,,,,,,
2000,江西省,景德镇市,360000,360200,中部,东南侧,952653,105744,484900,362008,11.1,50.9,38,,143.78,,51.03,,,,,20.2,,,,78,,6900,27.33,26.78,23.97,35,34,31,27,2,21,1,3,,,,,0,0,,,,,,,,,0,2,6,2,1,2,0,1,16,96201,6001,5256,63,1,274,,,10.1,,,43.7,2.22,0.05,653427,3971,41858,108,14147,,157,,,,808100,801845,5214,1041,12,666492,58054,33823,,530255,761429,,,,,,,141683,22160,,280900,,290968,,10,1130,1160,,,43615,,70967,,,,,577600,2,112,594,,397,5494,7817,,5425,9.04,14.39,,,,,,,,,,,,,,,,,5,435,30,,,340,79,3550,1914,1750,168,1579,,,,,1465,199,1227,,,,144,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18117218,,,,,,,,
2001,江西省,景德镇市,360000,360200,中部,东南侧,1042566,109365,542968,390232,10.49,52.08,37.43,7205,145.61,,52.27,144.7,,,,8.1,,,,78,,6400,28.12,25.48,24.73,36,33,32,28,2,20,1,4,,,,,0,0,,,,,,,,,0,1,7,2,1,2,0,1,15,108249,7089,5256,63,1,277,,,,,,42.15,2.02,0.066,595659,4536,41296,56,15011,,171,,,,917030,909914,7015,101,9,839035,68782,38786,,754133,545649,,,,,,,176566,28365,,309675,,316183,18,7,1263,1206,,,48012,,83901,,,,,669100,2,112,591,,430,5617,7765,,6723,9.57,14.31,,,,,,,,,,,,,,,,3,5,438,30,,,340,79,3560,1894,1880,161,1716,,30000,,,1814,157,1626,31,230,,148,3904,46483,19,17,26557,,,,,,,,,,,,,,,,,,,,,,,,,,,1598541,,,,,,,,
2002,江西省,景德镇市,360000,360200,中部,东南侧,1162452,116245,619471,426736,10,53.29,36.71,7937,147.3,,53.3,,,,,8.9,,,,14,65800,7700,1.24,6.91,6.13,9,48,43,1,0,5,1,0,,,,,0,0,,,,,,,,,0,0,1,0,1,2,0,1,15,119570,8151,5256,57,1,280,,,12.8,,,41,1.95,0.057,674776,4529,41727,48,15602,,167,,,,1071127,1070613,,514,8,878855,68591,42053,,769183,590337,,,,,,,286796,66978,29577,340324,,336170,16,19,4151,3082,,,53284,,101091,,,,,783000,2,111,571,,526,5853,7914,,8550,10.18,13.57,,,,,,,,,,,,,,,,3,5,402,27,,,290,91,3129,1964,2075,222,1850,,30303,,,2098,138,1936,24,213,,150,4303,73747,21,29,29690,,,,,,,,,,,,,,,,,,,,80,69,,,,,,1621034,,,,,,,,
2003,江西省,景德镇市,360000,360200,中部,东南侧,1406910,123808,761138,521964,8.8,54.1,37.1,9304,148.3,,56.78,,,,,9.8,,,,15,70800,10200,1.02,7.29,6.55,7,49,44,1,1,6,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,,,,,,,,,14,136183,9577,5256,56,1,282,,,15.6,,,38.7,1.66,0.037,672200,4826,42350,96,15294,,183,176,1,6,1127606,1121457,1723,4426,8,1039958,72078,38599,,913613,609105,,,,,,,546215,171012,63766,380670,,113827,15,29,15208,10291,,,66093,,122401,323,23103,1202427,1369288,923671,2,109,572,,748,5919,7665,,10882,11,13,,,,,,,,,,,,,,,,3,3,438,30,,,234,65,3483,1559,1883,166,1714,,30799,,,2171,155,1991,25,389,,150,4793,76770,27,30,31174,,,,,,,5039,4854,1294,16538,445580,10439,,,,,,,,80,100,82,,,,,,,,,,,,,
2004,江西省,景德镇市,360000,360200,中部,东南侧,1651237,140355,890512,620535,8.5,53.93,37.58,10842,150.57,,59.31,,,,,11.1,,,,15,97000,10564,0.97,7.72,6.45,6,51,43,1,1,6,1,1,0,0,1,0,0,0,0,0,0,0,2,1,0,2,,,,,,,,,14,152563,10890,5256,59,1,286,,,15.8,,,49.2,1.59,0.047,680175,5220,42832,50,17119,,218,209,2,7,1272426,1257209,3985,11232,8,1146726,14429,43453,,1087640,730891,,,,,,,1026316,180825,79819,440791,,117308,15,28,6464,1417,,,77444,,144149,427,26809,1369670,1572487,1055528,3,113,545,,971,6239,7401,,14443,11,12,,,,,,,,,,,,,,,,3,3,443,29,,,210,67,3489,1698,1987,180,1798,,95938,,,2289,174,2090,25,2201,,150,5314,89286,32,31,40929,,,,,,,5585,5474,3206,37605,81250,9544,,,,,,,,80,92,96,,,,,,,,,,,,,
